state,city,Total_Customers,Churned_Customers,Churn_Rate_Percentage
Madhya Pradesh,Bangalore,1454,303,20.839064649243465
Uttarakhand,Hyderabad,1455,303,20.824742268041238
Maharashtra,Hyderabad,1497,311,20.7748830995324
Chhattisgarh,Delhi,1409,292,20.723917672107877
Jharkhand,Delhi,1485,307,20.673400673400675
Nagaland,Bangalore,1391,287,20.632638389647735
Karnataka,Mumbai,1431,295,20.61495457721873
Andhra Pradesh,Delhi,1441,297,20.610687022900763
Sikkim,Chennai,1433,295,20.586182833217027
Mizoram,Hyderabad,1453,299,20.578114246386786
Goa,Mumbai,1453,299,20.578114246386786
Uttarakhand,Chennai,1492,307,20.576407506702413
Mizoram,Bangalore,1440,296,20.555555555555557
Punjab,Kolkata,1432,294,20.53072625698324
Jharkhand,Bangalore,1468,301,20.50408719346049
Tamil Nadu,Mumbai,1425,292,20.49122807017544
Uttarakhand,Delhi,1475,302,20.47457627118644
Meghalaya,Mumbai,1467,300,20.449897750511248
Odisha,Bangalore,1389,284,20.44636429085673
Punjab,Mumbai,1415,289,20.424028268551236
Assam,Bangalore,1391,284,20.416966211358734
Madhya Pradesh,Mumbai,1461,298,20.396988364134156
Maharashtra,Kolkata,1477,299,20.24373730534868
Chhattisgarh,Kolkata,1509,305,20.212060967528164
Nagaland,Delhi,1361,275,20.20573108008817
Bihar,Hyderabad,1372,277,20.189504373177844
Sikkim,Bangalore,1491,301,20.187793427230048
Arunachal Pradesh,Bangalore,1473,297,20.162932790224033
Uttar Pradesh,Hyderabad,1425,287,20.140350877192983
Gujarat,Bangalore,1406,283,20.128022759601706
Maharashtra,Chennai,1506,303,20.1195219123506
Punjab,Hyderabad,1428,287,20.098039215686274
Punjab,Delhi,1439,289,20.08339124391939
Madhya Pradesh,Hyderabad,1438,288,20.027816411682892
Goa,Chennai,1479,296,20.013522650439487
Maharashtra,Bangalore,1446,289,19.986168741355463
Karnataka,Delhi,1507,301,19.973457199734572
Uttar Pradesh,Delhi,1448,289,19.9585635359116
Rajasthan,Delhi,1444,288,19.94459833795014
Tripura,Hyderabad,1455,290,19.93127147766323
Sikkim,Kolkata,1430,285,19.93006993006993
Assam,Hyderabad,1391,277,19.9137311286844
Meghalaya,Delhi,1377,274,19.89832970225127
Uttar Pradesh,Kolkata,1468,292,19.891008174386922
Assam,Mumbai,1403,279,19.885958660014253
Uttarakhand,Mumbai,1499,298,19.879919946631087
Uttarakhand,Bangalore,1455,289,19.86254295532646
Mizoram,Chennai,1410,280,19.858156028368793
Karnataka,Kolkata,1512,300,19.841269841269842
Odisha,Hyderabad,1518,301,19.828722002635047
Arunachal Pradesh,Chennai,1498,297,19.826435246995995
Bihar,Chennai,1437,284,19.7633959638135
Madhya Pradesh,Chennai,1482,292,19.70310391363023
Rajasthan,Bangalore,1483,292,19.68981793661497
Uttar Pradesh,Bangalore,1444,284,19.667590027700832
Kerala,Mumbai,1495,294,19.665551839464882
Jharkhand,Kolkata,1429,281,19.664100769769068
Tripura,Mumbai,1419,279,19.661733615221987
Haryana,Chennai,1471,289,19.64649898028552
Himachal Pradesh,Bangalore,1441,283,19.63913948646773
Sikkim,Delhi,1485,291,19.595959595959595
Chhattisgarh,Bangalore,1450,284,19.586206896551722
Andhra Pradesh,Chennai,1425,279,19.57894736842105
Telangana,Mumbai,1471,288,19.57851801495581
Arunachal Pradesh,Hyderabad,1447,283,19.557705597788527
Andhra Pradesh,Mumbai,1419,277,19.52078928823115
Meghalaya,Bangalore,1456,284,19.505494505494507
Odisha,Delhi,1446,282,19.502074688796682
Haryana,Bangalore,1467,286,19.495569188820724
Goa,Hyderabad,1426,278,19.49509116409537
Telangana,Hyderabad,1494,291,19.477911646586346
Meghalaya,Kolkata,1417,276,19.477769936485533
West Bengal,Kolkata,1464,285,19.4672131147541
Goa,Bangalore,1464,285,19.4672131147541
Haryana,Kolkata,1485,289,19.46127946127946
Andhra Pradesh,Kolkata,1429,278,19.454163750874738
Assam,Chennai,1461,284,19.43874058863792
West Bengal,Mumbai,1405,273,19.430604982206404
Himachal Pradesh,Kolkata,1467,285,19.427402862985684
Uttar Pradesh,Chennai,1484,288,19.40700808625337
Rajasthan,Hyderabad,1474,286,19.402985074626866
Gujarat,Kolkata,1428,277,19.397759103641455
Arunachal Pradesh,Delhi,1450,281,19.379310344827587
Odisha,Chennai,1471,285,19.37457511896669
Bihar,Kolkata,1441,279,19.36155447605829
Manipur,Chennai,1475,285,19.322033898305083
Goa,Delhi,1436,277,19.289693593314762
Madhya Pradesh,Delhi,1541,297,19.27319922128488
Mizoram,Delhi,1443,278,19.265419265419265
Tamil Nadu,Chennai,1430,275,19.23076923076923
Nagaland,Hyderabad,1425,274,19.228070175438596
Gujarat,Chennai,1478,284,19.215155615696887
West Bengal,Bangalore,1438,276,19.193324061196105
Tripura,Kolkata,1460,280,19.17808219178082
Manipur,Kolkata,1342,257,19.150521609538004
Maharashtra,Mumbai,1431,274,19.14744933612858
Maharashtra,Delhi,1463,280,19.138755980861244
Sikkim,Mumbai,1411,270,19.13536498936924
Haryana,Mumbai,1495,285,19.06354515050167
Telangana,Delhi,1424,271,19.030898876404493
Rajasthan,Chennai,1419,270,19.027484143763214
Chhattisgarh,Hyderabad,1446,275,19.017980636237898
Andhra Pradesh,Hyderabad,1459,276,18.917066483893077
Arunachal Pradesh,Mumbai,1470,277,18.843537414965986
Telangana,Kolkata,1477,278,18.82193635748138
Himachal Pradesh,Delhi,1439,270,18.763029881862405
Nagaland,Chennai,1445,271,18.75432525951557
Tripura,Delhi,1446,271,18.741355463347166
West Bengal,Chennai,1457,273,18.73713109128346
Tamil Nadu,Delhi,1460,273,18.698630136986303
Bihar,Bangalore,1491,277,18.57813547954393
Tamil Nadu,Bangalore,1476,274,18.56368563685637
Chhattisgarh,Chennai,1456,270,18.543956043956044
Kerala,Hyderabad,1519,281,18.499012508229097
Chhattisgarh,Mumbai,1407,260,18.47903340440654
Kerala,Kolkata,1433,264,18.422889043963714
West Bengal,Delhi,1404,258,18.376068376068375
Manipur,Mumbai,1403,256,18.246614397719174
Kerala,Delhi,1431,261,18.238993710691823
Tripura,Chennai,1416,257,18.149717514124294
Punjab,Chennai,1432,259,18.08659217877095
Gujarat,Mumbai,1430,257,17.972027972027973
Meghalaya,Chennai,1490,267,17.91946308724832
Bihar,Delhi,1448,256,17.679558011049725
Punjab,Bangalore,1482,258,17.408906882591094
