date_of_registration,Total_Customers
2020-06-14,200
2020-06-15,200
2020-06-16,199
2020-06-17,200
2020-06-18,200
2020-06-19,200
2020-06-20,200
2020-06-21,199
2020-06-22,200
2020-06-23,200
2020-06-24,200
2020-06-25,199
2020-06-26,200
2020-06-27,200
2020-06-28,200
2020-06-29,200
2020-06-30,199
2020-07-01,200
2020-07-02,200
2020-07-03,200
2020-07-04,200
2020-07-05,199
2020-07-06,200
2020-07-07,200
2020-07-08,200
2020-07-09,200
2020-07-10,199
2020-07-11,200
2020-07-12,200
2020-07-13,200
2020-07-14,200
2020-07-15,199
2020-07-16,200
2020-07-17,200
2020-07-18,200
2020-07-19,200
2020-07-20,199
2020-07-21,200
2020-07-22,200
2020-07-23,200
2020-07-24,200
2020-07-25,199
2020-07-26,200
2020-07-27,200
2020-07-28,200
2020-07-29,200
2020-07-30,199
2020-07-31,200
2020-08-01,200
2020-08-02,200
2020-08-03,200
2020-08-04,199
2020-08-05,200
2020-08-06,200
2020-08-07,200
2020-08-08,200
2020-08-09,199
2020-08-10,200
2020-08-11,200
2020-08-12,200
2020-08-13,200
2020-08-14,199
2020-08-15,200
2020-08-16,200
2020-08-17,200
2020-08-18,200
2020-08-19,199
2020-08-20,200
2020-08-21,200
2020-08-22,200
2020-08-23,199
2020-08-24,200
2020-08-25,200
2020-08-26,200
2020-08-27,200
2020-08-28,199
2020-08-29,200
2020-08-30,200
2020-08-31,200
2020-09-01,200
2020-09-02,199
2020-09-03,200
2020-09-04,200
2020-09-05,200
2020-09-06,200
2020-09-07,199
2020-09-08,200
2020-09-09,200
2020-09-10,200
2020-09-11,200
2020-09-12,199
2020-09-13,200
2020-09-14,200
2020-09-15,200
2020-09-16,200
2020-09-17,199
2020-09-18,200
2020-09-19,200
2020-09-20,200
2020-09-21,200
2020-09-22,199
2020-09-23,200
2020-09-24,200
2020-09-25,200
2020-09-26,200
2020-09-27,199
2020-09-28,200
2020-09-29,200
2020-09-30,200
2020-10-01,200
2020-10-02,199
2020-10-03,200
2020-10-04,200
2020-10-05,200
2020-10-06,200
2020-10-07,199
2020-10-08,200
2020-10-09,200
2020-10-10,200
2020-10-11,200
2020-10-12,199
2020-10-13,200
2020-10-14,200
2020-10-15,200
2020-10-16,200
2020-10-17,199
2020-10-18,200
2020-10-19,200
2020-10-20,200
2020-10-21,199
2020-10-22,200
2020-10-23,200
2020-10-24,200
2020-10-25,200
2020-10-26,199
2020-10-27,200
2020-10-28,200
2020-10-29,200
2020-10-30,200
2020-10-31,199
2020-11-01,200
2020-11-02,200
2020-11-03,200
2020-11-04,200
2020-11-05,199
2020-11-06,200
2020-11-07,200
2020-11-08,200
2020-11-09,200
2020-11-10,199
2020-11-11,200
2020-11-12,200
2020-11-13,200
2020-11-14,200
2020-11-15,199
2020-11-16,200
2020-11-17,200
2020-11-18,200
2020-11-19,200
2020-11-20,199
2020-11-21,200
2020-11-22,200
2020-11-23,200
2020-11-24,200
2020-11-25,199
2020-11-26,200
2020-11-27,200
2020-11-28,200
2020-11-29,200
2020-11-30,199
2020-12-01,200
2020-12-02,200
2020-12-03,200
2020-12-04,200
2020-12-05,199
2020-12-06,200
2020-12-07,200
2020-12-08,200
2020-12-09,200
2020-12-10,199
2020-12-11,200
2020-12-12,200
2020-12-13,200
2020-12-14,199
2020-12-15,200
2020-12-16,200
2020-12-17,200
2020-12-18,200
2020-12-19,199
2020-12-20,200
2020-12-21,200
2020-12-22,200
2020-12-23,200
2020-12-24,199
2020-12-25,200
2020-12-26,200
2020-12-27,200
2020-12-28,200
2020-12-29,199
2020-12-30,200
2020-12-31,200
2021-01-01,200
2021-01-02,200
2021-01-03,199
2021-01-04,200
2021-01-05,200
2021-01-06,200
2021-01-07,200
2021-01-08,199
2021-01-09,200
2021-01-10,200
2021-01-11,200
2021-01-12,200
2021-01-13,199
2021-01-14,200
2021-01-15,200
2021-01-16,200
2021-01-17,200
2021-01-18,199
2021-01-19,200
2021-01-20,200
2021-01-21,200
2021-01-22,200
2021-01-23,199
2021-01-24,200
2021-01-25,200
2021-01-26,200
2021-01-27,200
2021-01-28,199
2021-01-29,200
2021-01-30,200
2021-01-31,200
2021-02-01,200
2021-02-02,199
2021-02-03,200
2021-02-04,200
2021-02-05,200
2021-02-06,200
2021-02-07,199
2021-02-08,200
2021-02-09,200
2021-02-10,200
2021-02-11,199
2021-02-12,200
2021-02-13,200
2021-02-14,200
2021-02-15,200
2021-02-16,199
2021-02-17,200
2021-02-18,200
2021-02-19,200
2021-02-20,200
2021-02-21,199
2021-02-22,200
2021-02-23,200
2021-02-24,200
2021-02-25,200
2021-02-26,199
2021-02-27,200
2021-02-28,200
2021-03-01,200
2021-03-02,200
2021-03-03,199
2021-03-04,200
2021-03-05,200
2021-03-06,200
2021-03-07,200
2021-03-08,199
2021-03-09,200
2021-03-10,200
2021-03-11,200
2021-03-12,200
2021-03-13,199
2021-03-14,200
2021-03-15,200
2021-03-16,200
2021-03-17,200
2021-03-18,199
2021-03-19,200
2021-03-20,200
2021-03-21,200
2021-03-22,200
2021-03-23,199
2021-03-24,200
2021-03-25,200
2021-03-26,200
2021-03-27,200
2021-03-28,199
2021-03-29,200
2021-03-30,200
2021-03-31,200
2021-04-01,200
2021-04-02,199
2021-04-03,200
2021-04-04,200
2021-04-05,200
2021-04-06,200
2021-04-07,199
2021-04-08,200
2021-04-09,200
2021-04-10,200
2021-04-11,199
2021-04-12,200
2021-04-13,200
2021-04-14,200
2021-04-15,200
2021-04-16,199
2021-04-17,200
2021-04-18,200
2021-04-19,200
2021-04-20,200
2021-04-21,199
2021-04-22,200
2021-04-23,200
2021-04-24,200
2021-04-25,200
2021-04-26,199
2021-04-27,200
2021-04-28,200
2021-04-29,200
2021-04-30,200
2021-05-01,199
2021-05-02,200
2021-05-03,200
2021-05-04,200
2021-05-05,200
2021-05-06,199
2021-05-07,200
2021-05-08,200
2021-05-09,200
2021-05-10,200
2021-05-11,199
2021-05-12,200
2021-05-13,200
2021-05-14,200
2021-05-15,200
2021-05-16,199
2021-05-17,200
2021-05-18,200
2021-05-19,200
2021-05-20,200
2021-05-21,199
2021-05-22,200
2021-05-23,200
2021-05-24,200
2021-05-25,200
2021-05-26,199
2021-05-27,200
2021-05-28,200
2021-05-29,200
2021-05-30,200
2021-05-31,199
2021-06-01,200
2021-06-02,200
2021-06-03,200
2021-06-04,200
2021-06-05,199
2021-06-06,200
2021-06-07,200
2021-06-08,200
2021-06-09,199
2021-06-10,200
2021-06-11,200
2021-06-12,200
2021-06-13,200
2021-06-14,199
2021-06-15,200
2021-06-16,200
2021-06-17,200
2021-06-18,200
2021-06-19,199
2021-06-20,200
2021-06-21,200
2021-06-22,200
2021-06-23,200
2021-06-24,199
2021-06-25,200
2021-06-26,200
2021-06-27,200
2021-06-28,200
2021-06-29,199
2021-06-30,200
2021-07-01,200
2021-07-02,200
2021-07-03,200
2021-07-04,199
2021-07-05,200
2021-07-06,200
2021-07-07,200
2021-07-08,200
2021-07-09,199
2021-07-10,200
2021-07-11,200
2021-07-12,200
2021-07-13,200
2021-07-14,199
2021-07-15,200
2021-07-16,200
2021-07-17,200
2021-07-18,200
2021-07-19,199
2021-07-20,200
2021-07-21,200
2021-07-22,200
2021-07-23,200
2021-07-24,199
2021-07-25,200
2021-07-26,200
2021-07-27,200
2021-07-28,200
2021-07-29,199
2021-07-30,200
2021-07-31,200
2021-08-01,200
2021-08-02,200
2021-08-03,199
2021-08-04,200
2021-08-05,200
2021-08-06,200
2021-08-07,199
2021-08-08,200
2021-08-09,200
2021-08-10,200
2021-08-11,200
2021-08-12,199
2021-08-13,200
2021-08-14,200
2021-08-15,200
2021-08-16,200
2021-08-17,199
2021-08-18,200
2021-08-19,200
2021-08-20,200
2021-08-21,200
2021-08-22,199
2021-08-23,200
2021-08-24,200
2021-08-25,200
2021-08-26,200
2021-08-27,199
2021-08-28,200
2021-08-29,200
2021-08-30,200
2021-08-31,200
2021-09-01,199
2021-09-02,200
2021-09-03,200
2021-09-04,200
2021-09-05,200
2021-09-06,199
2021-09-07,200
2021-09-08,200
2021-09-09,200
2021-09-10,200
2021-09-11,199
2021-09-12,200
2021-09-13,200
2021-09-14,200
2021-09-15,200
2021-09-16,199
2021-09-17,200
2021-09-18,200
2021-09-19,200
2021-09-20,200
2021-09-21,199
2021-09-22,200
2021-09-23,200
2021-09-24,200
2021-09-25,200
2021-09-26,199
2021-09-27,200
2021-09-28,200
2021-09-29,200
2021-09-30,199
2021-10-01,200
2021-10-02,200
2021-10-03,200
2021-10-04,200
2021-10-05,199
2021-10-06,200
2021-10-07,200
2021-10-08,200
2021-10-09,200
2021-10-10,199
2021-10-11,200
2021-10-12,200
2021-10-13,200
2021-10-14,200
2021-10-15,199
2021-10-16,200
2021-10-17,200
2021-10-18,200
2021-10-19,200
2021-10-20,199
2021-10-21,200
2021-10-22,200
2021-10-23,200
2021-10-24,200
2021-10-25,199
2021-10-26,200
2021-10-27,200
2021-10-28,200
2021-10-29,200
2021-10-30,199
2021-10-31,200
2021-11-01,200
2021-11-02,200
2021-11-03,200
2021-11-04,199
2021-11-05,200
2021-11-06,200
2021-11-07,200
2021-11-08,200
2021-11-09,199
2021-11-10,200
2021-11-11,200
2021-11-12,200
2021-11-13,200
2021-11-14,199
2021-11-15,200
2021-11-16,200
2021-11-17,200
2021-11-18,200
2021-11-19,199
2021-11-20,200
2021-11-21,200
2021-11-22,200
2021-11-23,200
2021-11-24,199
2021-11-25,200
2021-11-26,200
2021-11-27,200
2021-11-28,199
2021-11-29,200
2021-11-30,200
2021-12-01,200
2021-12-02,200
2021-12-03,199
2021-12-04,200
2021-12-05,200
2021-12-06,200
2021-12-07,200
2021-12-08,199
2021-12-09,200
2021-12-10,200
2021-12-11,200
2021-12-12,200
2021-12-13,199
2021-12-14,200
2021-12-15,200
2021-12-16,200
2021-12-17,200
2021-12-18,199
2021-12-19,200
2021-12-20,200
2021-12-21,200
2021-12-22,200
2021-12-23,199
2021-12-24,200
2021-12-25,200
2021-12-26,200
2021-12-27,200
2021-12-28,199
2021-12-29,200
2021-12-30,200
2021-12-31,200
2022-01-01,200
2022-01-02,199
2022-01-03,200
2022-01-04,200
2022-01-05,200
2022-01-06,200
2022-01-07,199
2022-01-08,200
2022-01-09,200
2022-01-10,200
2022-01-11,200
2022-01-12,199
2022-01-13,200
2022-01-14,200
2022-01-15,200
2022-01-16,200
2022-01-17,199
2022-01-18,200
2022-01-19,200
2022-01-20,200
2022-01-21,200
2022-01-22,199
2022-01-23,200
2022-01-24,200
2022-01-25,200
2022-01-26,199
2022-01-27,200
2022-01-28,200
2022-01-29,200
2022-01-30,200
2022-01-31,199
2022-02-01,200
2022-02-02,200
2022-02-03,200
2022-02-04,200
2022-02-05,199
2022-02-06,200
2022-02-07,200
2022-02-08,200
2022-02-09,200
2022-02-10,199
2022-02-11,200
2022-02-12,200
2022-02-13,200
2022-02-14,200
2022-02-15,199
2022-02-16,200
2022-02-17,200
2022-02-18,200
2022-02-19,200
2022-02-20,199
2022-02-21,200
2022-02-22,200
2022-02-23,200
2022-02-24,200
2022-02-25,199
2022-02-26,200
2022-02-27,200
2022-02-28,200
2022-03-01,200
2022-03-02,199
2022-03-03,200
2022-03-04,200
2022-03-05,200
2022-03-06,200
2022-03-07,199
2022-03-08,200
2022-03-09,200
2022-03-10,200
2022-03-11,200
2022-03-12,199
2022-03-13,200
2022-03-14,200
2022-03-15,200
2022-03-16,200
2022-03-17,199
2022-03-18,200
2022-03-19,200
2022-03-20,200
2022-03-21,200
2022-03-22,199
2022-03-23,200
2022-03-24,200
2022-03-25,200
2022-03-26,199
2022-03-27,200
2022-03-28,200
2022-03-29,200
2022-03-30,200
2022-03-31,199
2022-04-01,200
2022-04-02,200
2022-04-03,200
2022-04-04,200
2022-04-05,199
2022-04-06,200
2022-04-07,200
2022-04-08,200
2022-04-09,200
2022-04-10,199
2022-04-11,200
2022-04-12,200
2022-04-13,200
2022-04-14,200
2022-04-15,199
2022-04-16,200
2022-04-17,200
2022-04-18,200
2022-04-19,200
2022-04-20,199
2022-04-21,200
2022-04-22,200
2022-04-23,200
2022-04-24,200
2022-04-25,199
2022-04-26,200
2022-04-27,200
2022-04-28,200
2022-04-29,200
2022-04-30,199
2022-05-01,200
2022-05-02,200
2022-05-03,200
2022-05-04,200
2022-05-05,199
2022-05-06,200
2022-05-07,200
2022-05-08,200
2022-05-09,200
2022-05-10,199
2022-05-11,200
2022-05-12,200
2022-05-13,200
2022-05-14,200
2022-05-15,199
2022-05-16,200
2022-05-17,200
2022-05-18,200
2022-05-19,200
2022-05-20,199
2022-05-21,200
2022-05-22,200
2022-05-23,200
2022-05-24,199
2022-05-25,200
2022-05-26,200
2022-05-27,200
2022-05-28,200
2022-05-29,199
2022-05-30,200
2022-05-31,200
2022-06-01,200
2022-06-02,200
2022-06-03,199
2022-06-04,200
2022-06-05,200
2022-06-06,200
2022-06-07,200
2022-06-08,199
2022-06-09,200
2022-06-10,200
2022-06-11,200
2022-06-12,200
2022-06-13,199
2022-06-14,200
2022-06-15,200
2022-06-16,200
2022-06-17,200
2022-06-18,199
2022-06-19,200
2022-06-20,200
2022-06-21,200
2022-06-22,200
2022-06-23,199
2022-06-24,200
2022-06-25,200
2022-06-26,200
2022-06-27,200
2022-06-28,199
2022-06-29,200
2022-06-30,200
2022-07-01,200
2022-07-02,200
2022-07-03,199
2022-07-04,200
2022-07-05,200
2022-07-06,200
2022-07-07,200
2022-07-08,199
2022-07-09,200
2022-07-10,200
2022-07-11,200
2022-07-12,200
2022-07-13,199
2022-07-14,200
2022-07-15,200
2022-07-16,200
2022-07-17,199
2022-07-18,200
2022-07-19,200
2022-07-20,200
2022-07-21,200
2022-07-22,199
2022-07-23,200
2022-07-24,200
2022-07-25,200
2022-07-26,200
2022-07-27,199
2022-07-28,200
2022-07-29,200
2022-07-30,200
2022-07-31,200
2022-08-01,199
2022-08-02,200
2022-08-03,200
2022-08-04,200
2022-08-05,200
2022-08-06,199
2022-08-07,200
2022-08-08,200
2022-08-09,200
2022-08-10,200
2022-08-11,199
2022-08-12,200
2022-08-13,200
2022-08-14,200
2022-08-15,200
2022-08-16,199
2022-08-17,200
2022-08-18,200
2022-08-19,200
2022-08-20,200
2022-08-21,199
2022-08-22,200
2022-08-23,200
2022-08-24,200
2022-08-25,200
2022-08-26,199
2022-08-27,200
2022-08-28,200
2022-08-29,200
2022-08-30,200
2022-08-31,199
2022-09-01,200
2022-09-02,200
2022-09-03,200
2022-09-04,200
2022-09-05,199
2022-09-06,200
2022-09-07,200
2022-09-08,200
2022-09-09,200
2022-09-10,199
2022-09-11,200
2022-09-12,200
2022-09-13,200
2022-09-14,199
2022-09-15,200
2022-09-16,200
2022-09-17,200
2022-09-18,200
2022-09-19,199
2022-09-20,200
2022-09-21,200
2022-09-22,200
2022-09-23,200
2022-09-24,199
2022-09-25,200
2022-09-26,200
2022-09-27,200
2022-09-28,200
2022-09-29,199
2022-09-30,200
2022-10-01,200
2022-10-02,200
2022-10-03,200
2022-10-04,199
2022-10-05,200
2022-10-06,200
2022-10-07,200
2022-10-08,200
2022-10-09,199
2022-10-10,200
2022-10-11,200
2022-10-12,200
2022-10-13,200
2022-10-14,199
2022-10-15,200
2022-10-16,200
2022-10-17,200
2022-10-18,200
2022-10-19,199
2022-10-20,200
2022-10-21,200
2022-10-22,200
2022-10-23,200
2022-10-24,199
2022-10-25,200
2022-10-26,200
2022-10-27,200
2022-10-28,200
2022-10-29,199
2022-10-30,200
2022-10-31,200
2022-11-01,200
2022-11-02,200
2022-11-03,199
2022-11-04,200
2022-11-05,200
2022-11-06,200
2022-11-07,200
2022-11-08,199
2022-11-09,200
2022-11-10,200
2022-11-11,200
2022-11-12,199
2022-11-13,200
2022-11-14,200
2022-11-15,200
2022-11-16,200
2022-11-17,199
2022-11-18,200
2022-11-19,200
2022-11-20,200
2022-11-21,200
2022-11-22,199
2022-11-23,200
2022-11-24,200
2022-11-25,200
2022-11-26,200
2022-11-27,199
2022-11-28,200
2022-11-29,200
2022-11-30,200
2022-12-01,200
2022-12-02,199
2022-12-03,200
2022-12-04,200
2022-12-05,200
2022-12-06,200
2022-12-07,199
2022-12-08,200
2022-12-09,200
2022-12-10,200
2022-12-11,200
2022-12-12,199
2022-12-13,200
2022-12-14,200
2022-12-15,200
2022-12-16,200
2022-12-17,199
2022-12-18,200
2022-12-19,200
2022-12-20,200
2022-12-21,200
2022-12-22,199
2022-12-23,200
2022-12-24,200
2022-12-25,200
2022-12-26,200
2022-12-27,199
2022-12-28,200
2022-12-29,200
2022-12-30,200
2022-12-31,200
2023-01-01,199
2023-01-02,200
2023-01-03,200
2023-01-04,200
2023-01-05,200
2023-01-06,199
2023-01-07,200
2023-01-08,200
2023-01-09,200
2023-01-10,199
2023-01-11,200
2023-01-12,200
2023-01-13,200
2023-01-14,200
2023-01-15,199
2023-01-16,200
2023-01-17,200
2023-01-18,200
2023-01-19,200
2023-01-20,199
2023-01-21,200
2023-01-22,200
2023-01-23,200
2023-01-24,200
2023-01-25,199
2023-01-26,200
2023-01-27,200
2023-01-28,200
2023-01-29,200
2023-01-30,199
2023-01-31,200
2023-02-01,200
2023-02-02,200
2023-02-03,200
2023-02-04,199
2023-02-05,200
2023-02-06,200
2023-02-07,200
2023-02-08,200
2023-02-09,199
2023-02-10,200
2023-02-11,200
2023-02-12,200
2023-02-13,200
2023-02-14,199
2023-02-15,200
2023-02-16,200
2023-02-17,200
2023-02-18,200
2023-02-19,199
2023-02-20,200
2023-02-21,200
2023-02-22,200
2023-02-23,200
2023-02-24,199
2023-02-25,200
2023-02-26,200
2023-02-27,200
2023-02-28,200
2023-03-01,199
2023-03-02,200
2023-03-03,200
2023-03-04,200
2023-03-05,200
2023-03-06,199
2023-03-07,200
2023-03-08,200
2023-03-09,200
2023-03-10,199
2023-03-11,200
2023-03-12,200
2023-03-13,200
2023-03-14,200
2023-03-15,199
2023-03-16,200
2023-03-17,200
2023-03-18,200
2023-03-19,200
2023-03-20,199
2023-03-21,200
2023-03-22,200
2023-03-23,200
2023-03-24,200
2023-03-25,199
2023-03-26,200
2023-03-27,200
2023-03-28,200
2023-03-29,200
2023-03-30,199
2023-03-31,200
2023-04-01,200
2023-04-02,200
2023-04-03,200
2023-04-04,199
2023-04-05,200
2023-04-06,200
2023-04-07,200
2023-04-08,200
2023-04-09,199
2023-04-10,200
2023-04-11,200
2023-04-12,200
2023-04-13,200
2023-04-14,199
2023-04-15,200
2023-04-16,200
2023-04-17,200
2023-04-18,200
2023-04-19,199
2023-04-20,200
2023-04-21,200
2023-04-22,200
2023-04-23,200
2023-04-24,199
2023-04-25,200
2023-04-26,200
2023-04-27,200
2023-04-28,200
2023-04-29,199
2023-04-30,200
2023-05-01,200
2023-05-02,200
2023-05-03,199
2023-05-04,1
